pfaf_id,country,area_km2,bws_score,bws_cat,bws_label
111011,Egypt,4.2238,5.0,4,Extremely High (>80%)
111011,Egypt,1846.0123,5.0,4,Extremely High (>80%)
111011,Egypt,30.5261,5.0,4,Extremely High (>80%)
111011,,0.7427,5.0,4,Extremely High (>80%)
111011,,13.431,5.0,4,Extremely High (>80%)
111012,Egypt,258.3643,5.0,-1,Arid and Low Water Use
111012,Egypt,2161.8149,5.0,-1,Arid and Low Water Use
111012,Egypt,1.7482,5.0,-1,Arid and Low Water Use
111012,Egypt,510.5351,5.0,-1,Arid and Low Water Use
111012,,0.0437,5.0,-1,Arid and Low Water Use
111013,Egypt,856.0091,5.0,-1,Arid and Low Water Use
111013,Egypt,4.5703,5.0,-1,Arid and Low Water Use
111013,Egypt,13.8671,5.0,-1,Arid and Low Water Use
111013,,12.9198,5.0,-1,Arid and Low Water Use
111013,,7.7555,5.0,-1,Arid and Low Water Use
111014,Egypt,1320.772,5.0,-1,Arid and Low Water Use
111014,Egypt,190.4485,5.0,-1,Arid and Low Water Use
111014,Egypt,26.6529,5.0,-1,Arid and Low Water Use
111014,Egypt,2653.0777,5.0,-1,Arid and Low Water Use
111014,Egypt,0.0141,5.0,-1,Arid and Low Water Use
111014,Egypt,35.7415,5.0,-1,Arid and Low Water Use
111014,,0.0203,5.0,-1,Arid and Low Water Use
111014,,0.0487,5.0,-1,Arid and Low Water Use
111015,Egypt,297.0795,5.0,-1,Arid and Low Water Use
111015,Egypt,180.9417,5.0,-1,Arid and Low Water Use
111015,Egypt,717.3647,5.0,-1,Arid and Low Water Use
111015,Egypt,204.3596,5.0,-1,Arid and Low Water Use
111015,Egypt,14709.2109,5.0,-1,Arid and Low Water Use
111015,Egypt,356.7793,5.0,-1,Arid and Low Water Use
111015,,8.2328,5.0,-1,Arid and Low Water Use
111015,,27.8235,5.0,-1,Arid and Low Water Use
111015,,170.5313,5.0,-1,Arid and Low Water Use
111016,Egypt,43.14,5.0,-1,Arid and Low Water Use
111016,Egypt,1790.2199,5.0,-1,Arid and Low Water Use
111016,Egypt,0.029,5.0,-1,Arid and Low Water Use
111016,Egypt,3.2083,5.0,-1,Arid and Low Water Use
111016,,0.0353,5.0,-1,Arid and Low Water Use
111017,Egypt,1200.1984,5.0,-1,Arid and Low Water Use
111017,Egypt,7329.6583,5.0,-1,Arid and Low Water Use
111017,Egypt,62.8861,5.0,-1,Arid and Low Water Use
111017,,28.348,5.0,-1,Arid and Low Water Use
111017,,44.4497,5.0,-1,Arid and Low Water Use
111018,Egypt,17.574,5.0,-1,Arid and Low Water Use
111018,Egypt,1942.3683,5.0,-1,Arid and Low Water Use
111018,,0.1321,5.0,-1,Arid and Low Water Use
111019,Egypt,1515.3773,5.0,-1,Arid and Low Water Use
111019,Egypt,4897.1313,5.0,-1,Arid and Low Water Use
111019,Egypt,64.0433,5.0,-1,Arid and Low Water Use
111019,,52.4781,5.0,-1,Arid and Low Water Use
111019,,50.7178,5.0,-1,Arid and Low Water Use
111020,Egypt,1.1454,5.0,-1,Arid and Low Water Use
111020,Egypt,95.3377,5.0,-1,Arid and Low Water Use
111020,Egypt,9417.1126,5.0,-1,Arid and Low Water Use
111020,,0.0514,5.0,-1,Arid and Low Water Use
111020,,0.151,5.0,-1,Arid and Low Water Use
111020,Sudan,42.1858,5.0,-1,Arid and Low Water Use
111020,Sudan,2148.6349,5.0,-1,Arid and Low Water Use
111030,Egypt,7.2459,5.0,-1,Arid and Low Water Use
111030,,16.6448,5.0,-1,Arid and Low Water Use
111030,,20.859,5.0,-1,Arid and Low Water Use
111030,Sudan,3076.3225,5.0,-1,Arid and Low Water Use
111030,Sudan,2392.4127,5.0,-1,Arid and Low Water Use
111030,Sudan,22.849,5.0,-1,Arid and Low Water Use
111041,,0.214,5.0,-1,Arid and Low Water Use
111041,Sudan,1304.1428,5.0,-1,Arid and Low Water Use
111041,Sudan,12455.0918,5.0,-1,Arid and Low Water Use
111042,Sudan,5329.4805,5.0,-1,Arid and Low Water Use
111043,Sudan,278.6482,5.0,-1,Arid and Low Water Use
111044,Sudan,5305.3469,5.0,-1,Arid and Low Water Use
111045,Sudan,6114.96,5.0,-1,Arid and Low Water Use
111046,Sudan,3730.9964,5.0,-1,Arid and Low Water Use
111047,Sudan,729.4214,5.0,-1,Arid and Low Water Use
111048,Sudan,3616.2175,5.0,-1,Arid and Low Water Use
111049,Sudan,3631.0213,5.0,-1,Arid and Low Water Use
111050,,56.9988,5.0,-1,Arid and Low Water Use
111050,,151.5625,5.0,-1,Arid and Low Water Use
111050,Sudan,6030.9292,5.0,-1,Arid and Low Water Use
111050,Sudan,9575.3322,5.0,-1,Arid and Low Water Use
111050,Sudan,417.4134,5.0,-1,Arid and Low Water Use
111060,,0.1704,5.0,-1,Arid and Low Water Use
111060,Sudan,158.3293,5.0,-1,Arid and Low Water Use
111060,Sudan,4435.3203,5.0,-1,Arid and Low Water Use
111060,Sudan,0.4122,5.0,-1,Arid and Low Water Use
111070,,19.2476,5.0,4,Extremely High (>80%)
111070,,74.0848,5.0,4,Extremely High (>80%)
111070,Sudan,4248.0735,5.0,4,Extremely High (>80%)
111070,Sudan,94.2232,5.0,4,Extremely High (>80%)
111070,Sudan,6707.3742,5.0,4,Extremely High (>80%)
111070,Sudan,102.6533,5.0,4,Extremely High (>80%)
111081,Eritrea,6.4458,4.745978109087076,4,Extremely High (>80%)
111081,Eritrea,210.1899,4.745978109087076,4,Extremely High (>80%)
111081,,0.0282,4.745978109087076,4,Extremely High (>80%)
111081,Sudan,725.9251,4.745978109087076,4,Extremely High (>80%)
111081,Sudan,345.2627,4.745978109087076,4,Extremely High (>80%)
111081,Sudan,2989.134,4.745978109087076,4,Extremely High (>80%)
111081,Sudan,4.2169,4.745978109087076,4,Extremely High (>80%)
111082,Eritrea,66.3586,5.0,4,Extremely High (>80%)
