country,n_basins,total_area_km2,area_weighted_bws_score,dominant_bws_cat
Seychelles,2,194.3,5.0,-1
Lebanon,34,10263.7,5.0,4
Cyprus,10,5733.1,5.0,4
Akrotiri and Dhekelia,3,235.2,5.0,4
Northern Cyprus,9,3321.6,5.0,4
Malta,7,324.0,5.0,4
Kuwait,22,17449.6,5.0,4
Bahrain,10,716.0,5.0,4
Qatar,14,11673.0,5.0,4
Oman,135,310902.3,5.0,-1
Nauru,14,22.2,5.0,-1
United States Minor Outlying Islands,1,8.6,5.0,-1
Saudi Arabia,593,1924542.7,4.987,-1
United Arab Emirates,56,71341.4,4.967,4
Yemen,214,454727.4,4.888,-1
Libya,448,1622429.2,4.812,-1
Western Sahara,81,268493.5,4.798,-1
Botswana,291,580664.7,4.741,-1
Niger,389,1190020.5,4.712,-1
Egypt,352,987551.6,4.698,-1
Jordan,114,89395.6,4.667,-1
Mauritania,391,1046475.6,4.634,-1
Namibia,352,827813.7,4.61,-1
San Marino,12,61.2,4.449,4
Algeria,833,2316502.9,4.434,-1
Iran,782,1625936.9,4.343,4
Greece,103,132748.6,4.292,4
Belgium,23,30652.8,4.233,4
Tunisia,140,155079.5,4.193,4
Syria,181,187349.1,4.188,4
Uzbekistan,237,447907.2,4.027,4
South Africa,623,1223999.4,3.962,-1
Mongolia,421,1565614.1,3.835,-1
Palestina,17,6238.4,3.811,4
Eritrea,73,121148.5,3.806,0
Turkmenistan,152,489724.5,3.745,-1
Iraq,242,446569.8,3.696,4
Israel,50,22227.6,3.635,4
India,1239,3167283.0,3.553,4
Spain,285,506617.1,3.541,4
Andorra,10,452.3,3.53,3
Italy,281,300919.8,3.529,4
Mali,422,1258082.2,3.519,-1
Sudan,611,1882651.5,3.422,-1
Afghanistan,397,645449.1,3.369,4
Pakistan,309,877140.2,3.193,0
Mexico,966,1960675.7,3.185,4
Chad,483,1277247.5,3.15,-1
Morocco,280,414686.2,3.102,4
Somalia,322,637497.2,3.076,-1
Portugal,95,89662.1,3.0,4
Albania,59,28761.8,2.992,4
Thailand,571,517024.9,2.939,4
Turkey,624,781781.8,2.917,0
Macedonia,142,24845.3,2.857,2
Luxembourg,8,2578.7,2.85,2
Chile,498,758217.4,2.683,0
Kosovo,30,10926.2,2.657,4
Australia,1908,7717571.7,2.649,0
Kazakhstan,703,2722054.3,2.567,0
China,3272,9400157.6,2.55,0
Armenia,59,29723.1,2.451,3
