iso2,occurrence_records,share_pct
US,1209048759,37.8513
FR,198046384,6.2002
CA,194160169,6.0785
GB,192969453,6.0412
SE,154656094,4.8418
AU,139946590,4.3813
NL,135212907,4.2331
ES,74443834,2.3306
DE,69635865,2.1801
IN,63126032,1.9763
NO,62909334,1.9695
DK,60842741,1.9048
FI,45764894,1.4327
ZA,42939865,1.3443
BE,39321970,1.231
CO,34932409,1.0936
CH,27095074,0.8483
CR,26509256,0.8299
MX,26360653,0.8253
BR,25043015,0.784
TW,22510258,0.7047
PT,22428313,0.7022
CL,19136107,0.5991
AR,16128166,0.5049
RU,15260586,0.4778
AT,14107681,0.4417
NZ,13898784,0.4351
EC,12264028,0.3839
IT,10034853,0.3142
PL,9776823,0.3061
PE,8916907,0.2792
PA,8709886,0.2727
IL,8182025,0.2562
BZ,7458993,0.2335
CZ,7380645,0.2311
JP,7137723,0.2235
TH,6996277,0.219
EE,5712039,0.1788
IE,5607992,0.1756
KE,5117558,0.1602
CN,5110535,0.16
GT,4926771,0.1542
KR,4523451,0.1416
VE,4393226,0.1375
PR,4147824,0.1299
TR,3704887,0.116
HN,3555699,0.1113
UA,3322089,0.104
LU,3312699,0.1037
SK,3265176,0.1022
MY,3259340,0.102
GR,3112886,0.0975
LK,2648272,0.0829
UG,2469605,0.0773
NA,2371912,0.0743
HU,2249111,0.0704
TZ,2226380,0.0697
ID,2215512,0.0694
HK,2129550,0.0667
BG,2016650,0.0631
SG,2008278,0.0629
UY,1976858,0.0619
AE,1953511,0.0612
NI,1808264,0.0566
CU,1807257,0.0566
IS,1782332,0.0558
PH,1745442,0.0546
IM,1726998,0.0541
AX,1709815,0.0535
NP,1616934,0.0506
BO,1608762,0.0504
RS,1537931,0.0481
ZW,1427739,0.0447
RO,1289410,0.0404
BW,1282899,0.0402
SV,1256247,0.0393
PY,1223685,0.0383
TT,1205098,0.0377
HR,1200274,0.0376
MA,1184604,0.0371
LT,1177278,0.0369
GE,1139105,0.0357
KH,1106994,0.0347
GH,990967,0.031
ZM,988233,0.0309
AQ,940941,0.0295
BS,910847,0.0285
NG,891507,0.0279
BJ,865598,0.0271
GM,863625,0.027
MG,789883,0.0247
VI,784145,0.0245
ET,772917,0.0242
RE,765556,0.024
DO,760616,0.0238
VN,742855,0.0233
IR,723179,0.0226
GF,722076,0.0226
GP,707261,0.0221
MZ,703781,0.022
BT,701731,0.022
SI,678603,0.0212
SN,678190,0.0212
SA,671380,0.021
GY,659272,0.0206
BD,653717,0.0205
PS,650607,0.0204
BY,643294,0.0201
JM,636295,0.0199
PG,627950,0.0197
CY,618817,0.0194
MN,612937,0.0192
OM,587128,0.0184
BM,527694,0.0165
KZ,467419,0.0146
EG,459417,0.0144
RW,415108,0.013
SZ,414994,0.013
KY,411807,0.0129
SJ,398624,0.0125
CW,392641,0.0123
NC,386421,0.0121
SR,361209,0.0113
PK,354989,0.0111
BQ,347179,0.0109
KW,339863,0.0106
LV,332278,0.0104
AW,315902,0.0099
UM,303226,0.0095
MW,298988,0.0094
GG,297763,0.0093
SY,277926,0.0087
MM,276739,0.0087
PF,276694,0.0087
CM,269181,0.0084
JE,263306,0.0082
AS,246872,0.0077
FK,239431,0.0075
