basin_code,basin_name,native_richness,exotic_richness,total_richness,latitude,longitude
Amazon,Amazon,2268,5,2273,-1.619426375,-52.23408978
Orinoco,Orinoco,1125,1,1126,8.456505641,-61.23064986
Congo,Congo,1115,7,1122,-5.836978243,13.00144018
Parana,Parana,1027,20,1047,-33.75668212,-58.53492313
Mekong,Mekong,904,29,933,9.969128293,105.914076
Tocantins,Tocantins,607,2,609,-2.567298076,-49.50073569
Essequibo,Essequibo,580,3,583,6.394199683,-58.65983818
Chao.Phraya,Chao.Phraya,505,17,522,13.57310339,100.5922851
Malawi,Malawi,453,1,454,,
Tanganyika,Tanganyika,439,2,441,,
Zhujiang,Zhujiang,438,6,444,22.57562897,113.165538
Mississippi,Mississippi,436,66,502,30.03919177,-90.0512616
Yangtse,Yangtse,434,7,441,31.94340087,120.0371989
Uruguay,Uruguay,417,6,423,-32.47059941,-58.19721696
Niger,Niger,396,0,396,4.49805329,6.236338738
Maroni,Maroni,373,0,373,5.354402143,-54.15371396
Ganges,Ganges,369,24,393,23.54763485,90.56635278
Corantijn,Corantijn,311,1,312,5.528686413,-57.18186172
Surinam,Surinam,298,4,302,5.826871544,-55.11721845
Kapuas,Kapuas,293,0,293,-0.189652,109.181472
Salween,Salween,289,2,291,16.54962076,97.66752498
Sao.Francisco,Sao.Francisco,287,21,308,-10.62288309,-36.68799195
Victoria.lake,Victoria.lake,284,7,291,,
Paraiba.do.Sul,Paraiba.do.Sul,270,31,301,-21.63207173,-41.01578177
Zambezi,Zambezi,267,17,284,-18.79415643,36.3300014
Oyapock,Oyapock,264,0,264,4.054094668,-51.64523736
Magdalena,Magdalena,262,12,274,11.03422789,-74.61581712
Ogooue,Ogooue,261,2,263,-1.00371673,8.922740105
Mana,Mana,252,0,252,5.725487347,-53.76076702
Approuague,Approuague,248,0,248,4.348003145,-52.0002657
Thu.Bon,Thu.Bon,245,18,263,15.87938543,108.3876287
Indus,Indus,240,16,256,24.02439264,67.47046503
Mae.Khlong,Mae.Khlong,232,4,236,13.35346507,100.014423
Song.Hong,Song.Hong,231,4,235,20.47202809,106.5586012
Cross,Cross,229,1,230,4.787187735,8.292984623
Qiantang,Qiantang,226,7,233,30.2422689,120.1936592
Alabama,Alabama,225,21,246,30.69496346,-88.007961
Sanaga,Sanaga,225,1,226,3.618780829,9.770762566
Dong.Nai,Dong.Nai,221,6,227,10.53136487,106.7372533
Comte,Comte,219,2,221,4.776429028,-52.33386925
Sinnamary,Sinnamary,219,0,219,5.456249402,-53.00823519
Pahang,Pahang,210,4,214,3.505548802,103.4510014
Tchad,Tchad,208,0,208,,
Senegal,Senegal,203,0,203,16.47308321,-16.47512026
Volta,Volta,203,0,203,5.760369615,0.655664272
Irrawaddy,Irrawaddy,196,6,202,16.1798673,94.89613745
Mahakam,Mahakam,189,9,198,-0.793334,117.281112
Atrato,Atrato,183,0,183,8.083147714,-76.85855499
Ntem,Ntem,179,0,179,2.374462114,9.818193514
Perak,Perak,178,9,187,4.019653442,100.7951696
Nile,Nile,178,1,179,31.44983415,30.38866213
Batang.Hari,Batang.Hari,177,0,177,-1.04833,104.144158
Ramu,Ramu,171,4,175,-4.034445,144.697783
Chagres,Chagres,169,4,173,9.320808997,-80.00459346
Demerara,Demerara,168,0,168,6.819407505,-58.07066824
Saint.Laurent,Saint.Laurent,167,40,207,46.81522054,-71.18309354
Carvao,Carvao,163,3,166,-29.98371909,-50.11602578
Cauvery,Cauvery,161,8,169,11.31677016,79.68905475
Wouri,Wouri,159,0,159,4.061905794,9.481091829
Ribeira.do.Iguape,Ribeira.do.Iguape,158,4,162,-24.76599506,-47.64813908
Coppename,Coppename,157,0,157,5.699342353,-55.89769447
Grande.USA,Grande.USA,156,44,200,25.91442469,-97.14983556
San.Juan.Venezuela,San.Juan.Venezuela,155,0,155,10.05563724,-62.74106857
So,So,155,0,155,6.345555787,2.458469873
Red,Red,155,32,187,29.56480829,-91.22444161
Pulau.Bintan.Island,Pulau.Bintan.Island,152,0,152,0.976695,104.436043
Rajang,Rajang,149,2,151,2.377222,111.440551
Song.Ma,Song.Ma,149,1,150,19.77262024,105.8970044
Kouilou,Kouilou,147,1,148,-4.496471837,11.72995603
Yalu,Yalu,146,2,148,40.00586883,124.3576557
Amur,Amur,145,13,158,53.06424874,140.8287396
Pearl,Pearl,144,5,149,30.17558769,-89.64509607
Krishna,Krishna,144,9,153,15.86962669,80.78544923
Saramacca,Saramacca,140,0,140,5.840954182,-55.90098603
Tapi,Tapi,139,6,145,9.202334246,99.36835173
Nyong,Nyong,139,0,139,3.264715887,9.929453972
Huanghe,Huanghe,139,3,142,37.76931568,119.0509271
Kourou,Kourou,137,0,137,5.158426903,-52.62577456
Merin,Merin,137,1,138,-31.78174287,-52.21854309
Negro.Uruguay,Negro.Uruguay,134,2,136,-33.37163665,-58.41258704
Usumacinta,Usumacinta,134,6,140,18.57091353,-92.67607582
Comoe,Comoe,134,2,136,5.180660316,-3.682763465
Liao.He,Liao.He,133,6,139,40.97756869,121.8331516
Oueme,Oueme,132,0,132,6.364965012,2.667432872
Ogun,Ogun,131,0,131,6.555088811,3.422767006
Musi,Musi,130,1,131,-2.344923999,105.02826
Gambia,Gambia,129,0,129,13.40633187,-16.17531801
Pascagoula,Pascagoula,127,0,127,30.37507375,-88.61344983
Fly,Fly,127,3,130,-8.384722,142.877777
Chantaburi,Chantaburi,126,1,127,12.50628039,102.0589221
Apalachicola,Apalachicola,126,25,151,29.7391613,-84.97878573
Hai.He,Hai.He,125,10,135,38.99530671,117.7021591
Lagos.Lagoon,Lagos.Lagoon,125,0,125,6.527106024,3.515269402
Moa,Moa,125,2,127,6.973234707,-11.58143696
Guaiba,Guaiba,125,7,132,-30.00838261,-51.26785746
Savannah,Savannah,124,25,149,32.05340008,-80.89514987
Nickerie,Nickerie,123,1,124,5.97095368,-57.01744544
Sungai.Aikwa,Sungai.Aikwa,123,3,126,-4.923609,136.966385
Sabine,Sabine,122,10,132,29.72827661,-93.88066074
Tuira,Tuira,121,1,122,8.160744707,-77.79054089
Bandama,Bandama,121,4,125,5.149065859,-4.972774133
Tocuyo,Tocuyo,120,3,123,11.06155164,-68.34432771
Kampar,Kampar,120,2,122,0.19605,102.534059
Daxioujiang,Daxioujiang,120,4,124,28.0200571,120.7561378
Kelantan,Kelantan,120,0,120,6.202804883,102.2816679
Ona,Ona,120,0,120,6.614244998,3.808320545
Kienke,Kienke,120,0,120,2.947157379,9.895450702
Kum,Kum,118,5,123,36.04337972,126.79202
Cusewijne,Cusewijne,116,1,117,5.880346378,-55.07366678
Calcasieu,Calcasieu,116,7,123,29.78474262,-93.34259968
Lerma.de.Santiago,Lerma.de.Santiago,116,13,129,21.64055388,-105.4419905
Endau,Endau,116,0,116,2.670118697,103.6429337
Nakdong,Nakdong,116,8,124,35.13648102,128.9819442
Riviere.de.Cayenne,Riviere.de.Cayenne,116,0,116,4.911315521,-52.38560798
Papaloapan,Papaloapan,114,6,120,18.69193733,-95.61885315
Pampana,Pampana,113,1,114,7.551760451,-12.38824953
Parnaiba,Parnaiba,113,2,115,-2.857552348,-41.66593287
Santee,Santee,112,31,143,33.14947791,-79.26549068
Panuco,Panuco,112,13,125,22.26484227,-97.7786184
Sinos,Sinos,111,4,115,-30.0137265,-51.26207435
Sinu,Sinu,111,0,111,9.42853869,-75.91144154
Coxcoapan,Coxcoapan,111,0,111,18.56053499,-95.01541507
Okavango,Okavango,111,6,117,,
Catatumbo,Catatumbo,110,0,110,9.336310126,-71.74821937
Han.Korea,Han.Korea,110,4,114,37.825,126.6708333
Neches,Neches,109,8,117,29.9583675,-93.76800062
Athi,Athi,109,10,119,-3.165329166,40.13197195
Shiloango,Shiloango,109,1,110,-5.294497816,12.16599332
Iracoubo,Iracoubo,108,0,108,5.51881089,-53.19650465
Escambia,Escambia,108,7,115,30.53608519,-87.17829689
Paraguacu,Paraguacu,107,2,109,-12.79342222,-38.86443336
Terengganu,Terengganu,107,2,109,5.313989878,103.163209
Roanoke,Roanoke,106,34,140,35.9451349,-76.69889706
Kolente,Kolente,106,0,106,8.923757322,-13.17400419
Rio.Cuanza,Rio.Cuanza,106,0,106,-9.37045676,13.15756276
Kosi.River,Kosi.River,106,0,106,-27.08383545,32.84663042
Peedee,Peedee,105,27,132,33.40090527,-79.22256243
Yongjiang,Yongjiang,104,3,107,29.96028825,121.7263815
Osun,Osun,104,0,104,6.41703081,4.046148643
Tarcoles,Tarcoles,103,1,104,9.788144758,-84.63814997
Santa.Maria.Pan,Santa.Maria.Pan,102,0,102,8.094855048,-80.47612464
Brazos,Brazos,102,18,120,28.87497598,-95.41143025
Trinity,Trinity,101,11,112,29.76868317,-94.74370277
Sepik,Sepik,101,8,109,-3.901893981,144.5437486
Nelson,Nelson,100,18,118,56.93173392,-92.80336843
Limpopo,Limpopo,100,16,116,-25.15298777,33.62995025
Areias,Areias,99,0,99,-12.78599957,-38.18613309
Saint.Paul,Saint.Paul,99,0,99,6.394626488,-10.80271317
Geba,Geba,99,3,102,11.93269849,-15.50171847
Incomati,Incomati,99,7,106,-25.8040097,32.72993226
San.Juan.Nicaragua,San.Juan.Nicaragua,98,6,104,10.74809102,-83.58245963
Altamaha,Altamaha,97,21,118,31.34424895,-81.38261873
Sumjin,Sumjin,97,3,100,34.95862349,127.7985725
Doce,Doce,96,27,123,-19.59361949,-39.78274544
Guayas,Guayas,96,0,96,-2.072344544,-79.8399925
Narmada,Narmada,96,3,99,21.75901896,73.10796087
Cape.Fear,Cape.Fear,95,22,117,34.17053479,-77.94890869
Hudson,Hudson,95,37,132,40.7380039,-74.00144472
Neuse,Neuse,95,18,113,35.15374601,-77.07061353
Choctawhatchee,Choctawhatchee,95,5,100,30.39069144,-86.10742802
Yangsan,Yangsan,94,4,98,34.88324616,126.5420028
Mundau,Mundau,94,2,96,-9.677948758,-35.72108765
Konkoure,Konkoure,94,3,97,9.836570324,-13.73394498
Ruaha,Ruaha,94,0,94,-7.947233419,39.43190847
Sao.Joao,Sao.Joao,93,1,94,-22.58781354,-41.9913041
Nandu,Nandu,93,9,102,20.052641,110.419585
Colorado.Texas,Colorado.Texas,93,24,117,28.6528517,-96.01418497
Shatt.al.Arab,Shatt.al.Arab,93,16,109,29.93095767,48.49704506
Godavari,Godavari,93,6,99,16.61431481,82.29783849
Hanjiang,Hanjiang,92,4,96,23.44866523,116.8427609
Osse,Osse,92,0,92,5.708211613,5.32543501
Danube,Danube,92,22,114,45.22170899,29.70471828
Bharathapuzha,Bharathapuzha,92,3,95,10.78284845,75.92674651
Bangpakong,Bangpakong,91,1,92,13.43720124,100.9708358
Mageonggang,Mageonggang,91,5,96,35.9081485,126.82191
Rancheria,Rancheria,90,1,91,11.57031226,-72.917186
Baram,Baram,90,2,92,4.590279,114.014443
Chengianjiang,Chengianjiang,90,4,94,30.12275342,120.7830665
Rio.Cunene,Rio.Cunene,90,1,91,-17.23767714,11.75717012
Subarnarekha,Subarnarekha,90,2,92,21.56908711,87.35922122
Lake.Saint.Lucia,Lake.Saint.Lucia,89,1,90,-28.08774612,32.56660483
Pra,Pra,89,0,89,5.025924897,-1.591116015
Rokel,Rokel,89,1,90,8.597850724,-12.96734073
Meherrin,Meherrin,89,16,105,36.32185695,-76.72727866
Yellow,Yellow,89,0,89,30.56059963,-86.96086816
Gayabos,Gayabos,88,1,89,19.52145796,-105.0923501
Tumen,Tumen,88,2,90,42.27359765,130.6604299
Cavally,Cavally,88,0,88,4.351542601,-7.552735194
Imo,Imo,88,0,88,4.600749712,7.543029179
Sassandra,Sassandra,88,2,90,4.954475303,-6.062522876
Kittam,Kittam,88,0,88,7.383470966,-12.48652867
Mar.Chiquita,Mar.Chiquita,87,4,91,,
Han,Han,87,2,89,37.63788483,126.7555038
Mono,Mono,87,0,87,6.251313439,1.782415238
Tano,Tano,87,0,87,5.030165272,-2.878490243
James,James,86,16,102,37.34622322,-77.25544869
Susquehanna,Susquehanna,86,40,126,39.55984771,-76.07753452
Bernam,Bernam,86,1,87,3.821973381,100.8214355
Kyoga,Kyoga,86,3,89,,
Riviere.de.Kaw,Riviere.de.Kaw,85,0,85,4.776429993,-52.12603658
Jiuojiang,Jiuojiang,85,3,88,28.6504083,121.496652
Yi.Shu.He,Yi.Shu.He,85,3,88,34.49716196,119.7745925
Zio,Zio,85,1,86,6.189825318,1.476452676
Delaware,Delaware,84,32,116,39.69162521,-75.49585227
Soto.la.Marina,Soto.la.Marina,84,4,88,23.75926628,-97.73793491
Huong,Huong,84,3,87,16.55630902,107.6126955
Yenisey,Yenisey,84,5,89,70.3131778,83.33741296
San.Juan.Colombia,San.Juan.Colombia,84,0,84,4.076209317,-77.42634091
Perdido,Perdido,83,0,83,30.39524219,-87.44997111
Saint.Johns,Saint.Johns,83,26,109,30.29389536,-81.39356499
Sierpe,Sierpe,83,0,83,8.864492336,-83.60299322
Chalakkudy,Chalakkudy,83,6,89,10.24122234,76.205343
Pak.Phanang,Pak.Phanang,82,3,85,8.4126432,100.2344586
Agneby,Agneby,82,0,82,5.289735493,-4.334565295
Great.Fish.River,Great.Fish.River,82,5,87,-33.47798257,27.1466252
Tar,Tar,81,11,92,35.52641592,-77.04068162
Anseongcheon,Anseongcheon,81,4,85,36.97325779,126.9788133
Nanliujiang,Nanliujiang,81,4,85,21.61594311,109.0511965
Pennar,Pennar,81,3,84,14.56754856,80.16736299
Coatzacoalcos,Coatzacoalcos,80,2,82,18.15191758,-94.41747672
Ochlockonee,Ochlockonee,80,6,86,29.91971509,-84.45598061
Kinabatangan,Kinabatangan,80,0,80,5.792222,118.370553
Waanje,Waanje,80,0,80,7.166251027,-11.88736545
Potomac,Potomac,79,40,119,38.88884809,-77.03055179
Changhuajiang,Changhuajiang,79,5,84,19.31708,108.677918
Edward,Edward,79,0,79,,
Balsas,Balsas,79,22,101,17.94950216,-102.1130014
Kura,Kura,79,12,91,39.14143995,49.06559509
Muar,Muar,78,2,80,2.032858037,102.5573715
Baudo,Baudo,77,0,77,4.957664935,-77.35822113
Patia,Patia,77,5,82,2.495830372,-78.40707829
Suwannee,Suwannee,77,3,80,29.33770613,-83.16477627
Sarawak,Sarawak,77,9,86,1.688611,110.29444
Lagune.Ebrie,Lagune.Ebrie,77,0,77,5.239052997,-4.61138788
Swartkopsrivier,Swartkopsrivier,77,4,81,-33.84646973,25.6391387
Saint.John,Saint.John,77,0,77,5.928415567,-10.07827111
Guadalupe,Guadalupe,76,19,95,28.42243328,-96.76907992
Ogeechee,Ogeechee,76,4,80,31.87133416,-81.10988777
Polochic,Polochic,76,0,76,15.82697936,-88.75097655
Sungai.Kamora,Sungai.Kamora,76,0,76,-4.832778,136.68695
Sapgyocheon,Sapgyocheon,76,3,79,36.78803132,126.8493758
Lofa,Lofa,76,0,76,6.596601892,-11.08857468
Great.Kwa.River,Great.Kwa.River,75,0,75,4.784615126,8.409513663
Cestos,Cestos,74,1,75,5.464483954,-9.580677864
Koliba,Koliba,73,2,75,11.63135108,-15.10128109
Guanipa,Guanipa,72,0,72,9.93034118,-62.42003762
Jequitinhonha,Jequitinhonha,72,3,75,-15.8321597,-38.87156919
Johore,Johore,72,0,72,1.629564786,103.9904174
Moyanjiang,Moyanjiang,72,3,75,21.85490503,111.9562463
Kowie.River,Kowie.River,72,5,77,-33.59857617,26.89585552
Grande.Ubatuba,Grande.Ubatuba,72,0,72,-23.44028522,-45.03590106
Dnepr,Dnepr,72,11,83,46.62152924,32.57585243
Kaba,Kaba,72,1,73,8.843734653,-13.15385386
Mhlatuze,Mhlatuze,72,2,74,-28.83258809,32.01701776
Itapecuru,Itapecuru,71,2,73,-2.816238764,-44.17928844
Connecticut,Connecticut,71,36,107,41.30752103,-72.36023166
Rappahannock,Rappahannock,71,19,90,38.17513439,-77.11054918
Dnestr,Dnestr,71,14,85,46.14783701,30.54780572
Kendawangan,Kendawangan,71,0,71,-2.570939,110.189728
Kariegarivier,Kariegarivier,71,4,75,-33.67636901,26.68553666
Turkana,Turkana,71,2,73,,
Blackwater.USA,Blackwater.USA,71,12,83,30.60476011,-87.02464227
Escatawpa,Escatawpa,71,4,75,30.37782849,-88.57899738
Chaliyar,Chaliyar,70,2,72,11.16495701,75.80437068
Camaqua,Camaqua,69,0,69,-31.26668161,-51.77016417
Pattani,Pattani,69,1,70,6.88406482,101.2555576
Lake.Albert,Lake.Albert,69,0,69,,
Volga,Volga,69,27,96,45.87079763,48.38905049
Edisto,Edisto,68,0,68,32.50215912,-80.36865009
Nueces,Nueces,68,13,81,27.8380408,-97.431018
Flinders.Norman,Flinders.Norman,68,1,69,-16.597476,141.234115
Wanquan,Wanquan,68,5,73,19.155141,110.567916
George.lake,George.lake,68,0,68,,
Pongola,Pongola,68,3,71,-26.11739487,32.65537211
Kikori,Kikori,68,2,70,-7.588889,144.455826
Casamance,Casamance,68,0,68,12.56519246,-16.4177479
San.Antonio,San.Antonio,67,16,83,28.40154369,-96.77776014
East.Alligator,East.Alligator,67,0,67,-12.137499,132.708894
Bia,Bia,67,2,69,5.355461576,-3.186384075
Knysnarivier,Knysnarivier,67,0,67,-34.07632111,22.99801647
Ord,Ord,67,0,67,-15.302779,128.252778
Ndian,Ndian,67,0,67,4.670121164,8.68121474
Sao.Mateus,Sao.Mateus,66,4,70,-18.61685766,-39.73682452
Richmond,Richmond,66,1,67,-28.90130713,153.5595326
Kuban,Kuban,66,21,87,45.3272577,37.29653814
Bayano,Bayano,65,0,65,8.976049785,-79.06477982
Crni.Drim,Crni.Drim,65,16,81,41.76935103,19.57532897
Lake.Rukwa,Lake.Rukwa,65,0,65,,
Daly,Daly,65,0,65,-13.369167,130.210831
Combahee,Combahee,65,0,65,32.55999165,-80.54711826
Jucurucu,Jucurucu,64,2,66,-17.34578073,-39.21250194
Columbia,Columbia,64,52,116,46.14738109,-123.2146667
Saint.Mary.s,Saint.Mary.s,64,1,65,30.72646328,-81.50073597
Adelaide,Adelaide,64,0,64,-12.220558,131.341096
Barron,Barron,64,11,75,-16.8225,145.732773
Segama,Segama,64,1,65,5.533847634,118.757424
Buffalo.River,Buffalo.River,64,9,73,-33.01685751,27.91159526
York.USA,York.USA,63,9,72,37.5032519,-76.79739925
Nicholson.Leichhardt,Nicholson.Leichhardt,63,1,64,-17.560001,139.743056
Kuap,Kuap,63,1,64,1.58556,110.541389
Mamberamo,Mamberamo,63,4,67,-1.661815598,137.3883186
Cai,Cai,63,4,67,12.27244043,109.2084336
